date,aod550_filled,B1_filled,B2_filled,B3_filled,B4_filled,B5_filled,B6_filled,B7_filled,B8_filled,B8A_filled,B9_filled,B11_filled,B12_filled,AOT_filled,WVP_filled,no2_filled,so2_filled,co_filled,hcho_filled,o3_filled,ai_filled,temp,dew,humi,preci,press,wspeed,wdirn,surf_water,soil_water,evapo,so_rad,t_rad,lei_h,lei_l,blh,sin,cos,site,pm2.5
2026-01-31,0.943145955863203,692.8817053902224,819.1514820370345,1007.3518539398452,1016.5597721165284,1334.43807656967,2083.128357415938,2296.5041856225585,2427.43721510578,2369.727270510124,2476.188058503768,1744.750841763161,1241.2930364128906,495.76057966163415,1563.939364274335,3.792896218244718e-05,7.419761043036052e-05,0.03757329915199,0.0001725135548986,0.12767239,-0.5032,16.13,12.12,77.16,0.01,100594.71,1.29,348.7,0.0,0.143,-0.000944,13852024.0,28957894.0,0.0,1.6485,293.74,0.5083564379375122,0.8611467540480452,birgunj,140.2591069604798
2026-02-01,0.6356189572993697,716.2178617056826,792.4355484325388,970.6422652502694,947.558016698247,1254.1755598281632,2118.4641896229805,2357.450524979908,2457.717983364278,2443.401684670473,2471.0967106705434,1737.706967647718,1199.0492955969066,470.80395238993685,1520.412407219959,2.987844488747932e-05,0.0002795916964155,0.038409478960027,0.0001495914206454,0.12653618,-0.5514254,16.66,12.74,77.69,0.0,100576.65,1.35,340.62,0.0,0.1426,-0.001158,16989092.0,28039747.0,0.0,1.6613,284.32,0.5230943033491326,0.8522748088519838,birgunj,135.02735106003885
2026-02-02,0.7019767070422583,722.0801165472611,791.1722139196639,948.5708211756394,930.0128735465958,1245.6362273415427,2111.6983180180514,2373.117825489774,2467.7589795646004,2447.487280619745,2418.691828529847,1752.771380973639,1238.3505420913073,463.8933879935203,1713.627977177989,2.710666290786399e-05,0.0001522925983061,0.044318852981713,7.313267516355994e-05,0.13219582,-0.23563728,17.92,14.2,78.91,0.0,100480.17,0.87,332.02,0.0,0.1421,-0.001203,17313096.0,29143474.0,0.0,1.674,269.05,0.5376773767406141,0.8431506618282,birgunj,144.34205944214423
2026-02-03,1.0042570237611057,382.727451567544,487.6156973111816,792.3163830632824,719.3368774034889,1228.4150999077317,2131.783335364255,2344.7519464547004,2447.181232034568,2483.9673995928747,2521.2948473618867,1874.625930410772,1253.7435653447883,441.81176230056576,1550.7237300243712,4.459228720112631e-05,0.0002347975012344,0.0473808696882454,0.0001946191676635,0.12800907,0.2986948,18.26,14.18,77.12,0.0,100629.52,1.5,338.63,0.0,0.1416,-0.001122,15895620.0,29033430.0,0.0,1.6868,394.71,0.5521013427459208,0.8337770129585915,birgunj,142.6259039182019
2026-02-04,0.4123499159233371,604.4971649962916,720.960147134154,901.184851835558,833.5901659082507,1172.338849222791,2088.039129131126,2337.884882495674,2451.5503532525363,2448.038996929931,2414.2248549328788,1752.892502148265,1192.6266142249206,487.1870525265974,1425.1497201471022,1.9905332232532036e-05,9.09655627278841e-05,0.0376208781329407,0.0003349416564652,0.124942355,-0.09926539,17.54,11.95,69.75,0.0,100495.77,2.75,358.58,0.0,0.1412,-0.001257,17951848.0,27114110.0,0.0,1.6997,332.94,0.5663619330814524,0.8241566360566663,birgunj,116.73601816095952
2026-02-05,0.5987514643607087,600.5860286556945,717.3497478644239,905.0626467247106,840.2714360691448,1173.5602762239553,2092.76393887801,2259.1462575306227,2450.474588005202,2466.9919944230246,2428.445604263584,1789.0538452229114,1207.1768736510292,495.8846637425909,1383.9100322203126,2.7799072697611463e-05,0.0006625541297145,0.0362829921285177,0.0002054036775952,0.12073538,-0.5024496,16.83,11.36,70.16,0.0,100454.91,2.61,2.06,0.0,0.1409,-0.001204,18415456.0,26755874.0,0.0,1.7125,356.33,0.580454927809098,0.8142923779467267,birgunj,110.25225396992566
2026-02-06,1.8069582156207051,607.8302065528318,724.0480483654361,927.1949147344216,850.5190520210048,1222.060944711469,2108.5043471404624,2277.704996482858,2475.07259955653,2459.455683395752,2442.6727541062737,1797.73266355193,1193.052460166418,506.7563578408548,1468.9493017112,4.302618945646133e-05,0.0002244032114595,0.0428031570766912,0.0002904189461995,0.12626562,-0.71405375,16.67,11.85,73.2,0.0,100374.7,1.73,0.97,0.0,0.1405,-0.001148,17002004.0,27998866.0,0.0,1.7253,380.8,0.5943761565849831,0.804187157621448,birgunj,134.2073567313448
2026-02-07,1.3685936564523375,602.2181197991804,728.7087600977759,951.565709333596,889.0015625394794,1260.5472963979198,2088.039129131126,2243.860884853462,2441.114598700056,2425.318819267813,2438.852269589776,1797.96119634323,1214.958369839361,515.0285226343502,1533.1265692501634,2.840920788761598e-05,0.000206724389754,0.0405227803664153,9.650162382614172e-05,0.12467941,-0.09054696,17.06,12.05,72.41,0.0,100196.6,1.15,354.79,0.0,0.1402,-0.001036,15204276.0,29096856.0,0.0,1.7381,373.61,0.6081214998935418,0.7938439653781019,birgunj,136.78007484766755
2026-02-08,0.9389736902522312,596.4408302190382,724.0480483654361,948.5708211756394,930.2400757862428,1274.1838120481962,2079.9811720863268,2255.0080467889675,2432.0286007356112,2423.695508966097,2427.654589232715,1810.409750541032,1277.7124216534578,507.68563279633,1586.2260084533466,2.9025263830544943e-05,0.000206724389754,0.0422939765187583,0.0001363357917238,0.12486631,1.1710525,17.47,12.5,72.63,0.01,100179.83,0.59,263.59,0.0,0.14,-0.001097,14983216.0,29353985.0,0.0,1.7509,395.93,0.6216868902665479,0.7832658619336791,birgunj,141.26514124777464
2026-02-09,0.9309219440046266,593.2079398230015,705.2408337393999,892.6352820421373,877.1977205705882,1220.66145063903,2101.534876492318,2278.761607944317,2461.7034854546023,2457.352355909356,2531.844442884769,1803.318213250496,1241.2930364128906,519.5203058837582,1495.1116382819796,2.840920788761598e-05,0.0001220964655894,0.0489519761053376,0.0001738942540005,0.124942355,0.41754457,17.87,12.11,69.05,0.0,100237.45,0.77,295.72,0.0,0.1397,-0.00129,16455548.0,28706562.0,0.0,1.7637,406.89,0.6350683134867438,0.7724559775191742,birgunj,131.28966644245213
2026-02-10,0.6341481974183347,571.150646723483,683.9055115888129,867.3275240677594,796.6302742026049,1171.335738520639,2100.486045440429,2276.9737230592823,2457.320381940548,2486.421485717788,2526.018523943082,1790.3274928702845,1217.467814069871,519.3041523307757,1484.5521378637432,2.406847212468096e-05,0.0003134115791455,0.0467204892407559,0.0001512173230986,0.12767239,-0.09926539,18.49,11.89,65.46,0.0,100330.89,1.28,342.4,0.0,0.1393,-0.001429,18554220.0,28173044.0,0.0,1.7764,346.97,0.6482618097757122,0.7614175109532997,birgunj,134.8000266129853
